"location_id","location_title","location_address","location_draggable","location_infowindow_default_open","location_animation","location_latitude","location_longitude","location_city","location_state","location_country","location_postal_code","location_zoom","location_messages","location_settings","location_group_map","location_extrafields"
"72","Olympique Museum","The Olympic Museum, Lausanne, Switzerland",,,"BOUNCE","46.5087324","6.63408789999994","Lausanne","Vaud","Switzerland","1006","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:45:""https://jboy.cagumbay.com/the-olympic-museum/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"73","Geneva","Geneva, Switzerland",,,"BOUNCE","46.2043907","6.143157699999961","Geneva","Geneva","Switzerland",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/a-city-of-history-and-expensive-stuff/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"74","Old Town Warsaw","Warsaw Old Town, Warsaw, Poland",,,"BOUNCE","52.24773309999999","21.01360790000001","Warszawa","Masovian Voivodeship","Poland",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/warsaw-old-town/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"75","Bayonne","Bayonne, France",,,"BOUNCE","43.492949","-1.4748409999999694","Bayonne","Nouvelle-Aquitaine","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:53:""https://jboy.cagumbay.com/good-old-friend-in-bayonne/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"76","San Sebastian","San Sebastián, Spain",,,"BOUNCE","43.318334","-1.9812312999999904","Donostialdea","Basque Country","Spain",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:52:""https://jboy.cagumbay.com/a-glance-of-san-sebastian/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"77","Bordeaux","Bordeaux, France",,,"BOUNCE","44.837789","-0.5791799999999512","Bordeaux","Nouvelle-Aquitaine","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:44:""https://jboy.cagumbay.com/bordeaux-at-night/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"78","Paris","Paris, France",,,"BOUNCE","48.85661400000001","2.3522219000000177","Paris","Île-de-France","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:39:""https://jboy.cagumbay.com/paris-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"79","Krakow Old Town","Old Town Square, Szczepańska, Kraków, Poland",,,"BOUNCE","50.0630907","19.936564599999997","Kraków","małopolskie","Poland","31-011","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/krakow-old-town/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"80","Auschwitz-Birkenau","Auschwitz-Birkenau, Stanisławy Leszczyńskiej, Oswiecim, Poland",,,"BOUNCE","50.0273915","19.201977299999953","Oświęcim","małopolskie","Poland","32-600","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:75:""https://jboy.cagumbay.com/auschwitz-birkenau-unimaginable-crime-by-mankind/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"81","Wieliczka Salt Mine","Wieliczka Salt Mine, Wieliczka, Poland",,,"BOUNCE","49.9834763","20.053796499999976","Wieliczka","małopolskie","Poland","32-020","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:63:""https://jboy.cagumbay.com/the-700-year-old-wieliczka-salt-mine/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"82","Gdańsk, Poland","Gdańsk, Poland",,,"BOUNCE","54.35202520000001","18.64663840000003","Gdańsk","Pomeranian Voivodeship","Poland",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/the-free-city-of-danzig-gdansk-poland/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"83","Sopot, Poland","Sopot, Poland",,,"BOUNCE","54.441581","18.560095600000068","Sopot","Pomeranian Voivodeship","Poland",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/sopot-a-quick-visit/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"84","Brussels, Belgium","Brussels, Belgium",,,"BOUNCE","50.8503396","4.351710300000036","Brussels","Brussels","Belgium",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/belgian-quickie/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"85","Mont Saint-Michel, France","Mont Saint-Michel, France",,,"BOUNCE","48.63606300000001","-1.511457000000064","Mont Saint-Michel","Normandy","France","50170","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:65:""https://jboy.cagumbay.com/sleepless-journey-to-mont-saint-michel/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"86","Rennes, France","Rennes, France",,,"BOUNCE","48.117266","-1.6777925999999752","Rennes","Brittany","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/it-rained-in-rennes/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"87","Palace of Versailles, Versailles, France","Palace of Versailles, Versailles, France",,,"BOUNCE","48.8048649","2.120355399999994","Versailles","Île-de-France","France","78000","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:67:""https://jboy.cagumbay.com/walking-around-the-gardens-of-versailles/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"88","Lourdes, France","Lourdes, France",,,"BOUNCE","43.091463","-0.045726000000058775","Lourdes","Occitanie","France","65100","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:48:""https://jboy.cagumbay.com/lourdes-pilgrims-town/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"89","Wrocław, Poland","Wrocław, Poland",,,"BOUNCE","51.1078852","17.03853760000004","Wrocław","Lower Silesian Voivodeship","Poland","51","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:67:""https://jboy.cagumbay.com/wroclaw-dwarves-and-filipino-hospitality/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"90","Monaco","Monaco",,,"BOUNCE","43.73841760000001","7.42461579999997",,,"Monaco",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:45:""https://jboy.cagumbay.com/monte-carlo-monaco/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"91","Èze, France","Èze, France",,,"BOUNCE","43.7278189","7.361792000000037","Èze","Provence-Alpes-Côte d'Azur","France","06360","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:74:""https://jboy.cagumbay.com/the-jardin-exotique-deze-when-in-french-riviera/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"92","Nice, France","Nice, France",,,"BOUNCE","43.7101728","7.261953199999994","Nice","Provence-Alpes-Côte d'Azur","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:74:""https://jboy.cagumbay.com/nice-experiences-in-nice-when-in-french-riviera/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"93","Madrid, Spain","Madrid, Spain",,,"BOUNCE","40.4167754","-3.7037901999999576","Madrid","Community of Madrid","Spain",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:56:""https://jboy.cagumbay.com/my-30th-on-the-28th-in-madrid/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"94","Segovia, Spain","Segovia, Spain",,,"BOUNCE","40.9429032","-4.1088068999999905","Segovia","Castile and León","Spain",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:95:""https://jboy.cagumbay.com/spending-a-day-in-unesco-world-heritage-listed-city-of-segovia-spain/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"95","Toulouse, France","Toulouse, France",,,"BOUNCE","43.604652","1.4442090000000007","Toulouse","Occitanie","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:66:""https://jboy.cagumbay.com/toulouse-a-series-of-unfortunate-events/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"96","Zakopane","Zakopane, Poland",,,"BOUNCE","49.29918099999999","19.949562000000014","Zakopane","Lesser Poland Voivodeship","Poland","34","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:50:""https://jboy.cagumbay.com/zakopane-how-not-to-ski/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"97","Kasprowy Wierch","Kasprowy Wierch",,,"BOUNCE","49.23216420000001","19.981798000000026",,,,,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:66:""https://jboy.cagumbay.com/kasprowy-wierch-hiking-through-the-snow/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"98","Poznań","Poznań, Poland",,,"BOUNCE","52.406374","16.925168100000064","Poznań","Greater Poland Voivodeship","Poland","61","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:85:""https://jboy.cagumbay.com/poznan-where-tourists-are-counted-by-two-headbanging-goats/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"99","Oslo","Oslo, Norway",,,"BOUNCE","59.9138688","10.752245399999993","Oslo","Oslo","Norway",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:97:""https://jboy.cagumbay.com/oslo-norway-vikings-deceiving-exchange-rate-and-filipino-hospitability/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"100","Baarle-Hertog, Belgium","Baarle-Hertog, Belgium",,,"BOUNCE","51.441832","4.931736000000001","Baarle-Hertog","Flanders","Belgium",,"0",,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","N;",NULL
"101","Amsterdam","Amsterdam, Netherlands",,,"BOUNCE","52.3702157","4.895167899999933","Amsterdam","North Holland","Netherlands",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:65:""https://jboy.cagumbay.com/amsterdam-the-city-of-bikes-and-canals/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"102","Haarlem","Haarlem, Netherlands",,,"BOUNCE","52.3873878","4.646219400000064","Haarlem","North Holland","Netherlands",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:61:""https://jboy.cagumbay.com/rainy-journey-to-the-tulip-country/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"103","Prague","Prague, Czechia",,,"BOUNCE","50.0755381","14.43780049999998","Prague","Prague","Czechia",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:55:""https://jboy.cagumbay.com/the-beautiful-city-of-prague/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"104","Oeschinen Lake, Kandersteg, Switzerland","Oeschinen Lake, Kandersteg, Switzerland",,,"BOUNCE","46.49890889999999","7.729106300000012","Kandersteg","Canton of Bern","Switzerland","3718","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:71:""https://jboy.cagumbay.com/hiking-through-unesco-region-of-oeschinensee/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"105","Częstochowa","Częstochowa, Poland",,,"BOUNCE","50.8118195","19.120309399999996","Częstochowa","Silesian Voivodeship","Poland","42-200","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:66:""https://jboy.cagumbay.com/czestochowa-the-pilgrims-town-of-poland/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"106","La Rochelle","La Rochelle, France",,,"BOUNCE","46.160329","-1.1511390000000574","La Rochelle","Nouvelle-Aquitaine","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:59:""https://jboy.cagumbay.com/la-rochelle-long-time-no-see-sea/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"107","Futuroscope","Futuroscope, Avenue René Monory, Chasseneuil-du-Poitou, France",,,"BOUNCE","46.6698573","0.36975810000001275","Chasseneuil-du-Poitou","Nouvelle-Aquitaine","France","86360","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:63:""https://jboy.cagumbay.com/futuroscope-a-technology-themed-park/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"108","Poitiers","Poitiers, France",,,"BOUNCE","46.58022400000001","0.34037499999999454","Poitiers","Nouvelle-Aquitaine","France","86000","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:56:""https://jboy.cagumbay.com/poitiers-the-city-of-students/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"109","Kehl, Germany","Kehl, Germany",,,"BOUNCE","48.57887249999999","7.816082100000017","Ortenaukreis","Baden-Württemberg","Germany",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:56:""https://jboy.cagumbay.com/the-quiet-little-town-of-kehl/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"110","Strasbourg, France","Strasbourg, France",,,"BOUNCE","48.57340529999999","7.752111300000024","Strasbourg","Grand Est","France",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:53:""https://jboy.cagumbay.com/strasbourg-capital-de-noel/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"111","Disneyland Paris","Disneyland Paris, Boulevard de Parc, Coupvray, France",,,"BOUNCE","48.86717689999999","2.783826500000032","Coupvray","Île-de-France","France","77700","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:68:""https://jboy.cagumbay.com/disneyland-paris-waking-up-the-kid-inside/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"112","Montreux, Switzerland","Montreux, Switzerland",,,"BOUNCE","46.4312213","6.910679899999991","Montreux","Vaud","Switzerland",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:49:""https://jboy.cagumbay.com/hiking-along-lac-leman/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"113","Siargao","Siargao Island, Philippines",,,"BOUNCE","9.848188299999999","126.04584369999998",,"Caraga","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:56:""https://jboy.cagumbay.com/the-elusive-island-of-siargao/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"114","Hong Kong","Hong Kong",,,"BOUNCE","22.3193039","114.16936110000006",,,"Hong Kong",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:57:""https://jboy.cagumbay.com/hong-kong-in-less-than-an-hour/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"115","Arcachon","Arcachon, France",,,"BOUNCE","44.652297","-1.1785016","Arcachon","Nouvelle-Aquitaine","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/arcachon-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"116","Dune du Pilat","Dune du Pilat, France",,,"BOUNCE","44.58965250000001","-1.2133338",,"Nouvelle-Aquitaine","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:47:""https://jboy.cagumbay.com/dune-du-pilat-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"117","Antibes","Antibes, France",,,"BOUNCE","43.58041799999999","7.125102","Antibes","Provence-Alpes-Côte d'Azur","France",,NULL,"https://jboy.cagumbay.com/antibes-france/","a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:41:""https://jboy.cagumbay.com/antibes-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"118","Menton, France","Menton, France",,,"BOUNCE","43.774481","7.497540000000001","Menton","Provence-Alpes-Côte d'Azur","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/menton-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"119","Dubai Expo 2020","Dubai Expo 2020 - Al Wasl Avenue - Dubai - United Arab Emirates",,,"BOUNCE","24.9608843","55.1506911","Dubai","Dubai","United Arab Emirates",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/dubai-expo-2020-uae/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"120","Liwa, UAE","Liwa - Abu Dhabi - UAE",,,"BOUNCE","22.9239922","53.9935892",,"Abu Dhabi","United Arab Emirates",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:35:""https://jboy.cagumbay.com/liwa-uae/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"121","Colmar","Colmar, France",,,"BOUNCE","48.0793589","7.358511999999999","Colmar","Grand Est","France",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"122","Basel","Basel, Switzerland",,,"BOUNCE","47.5595986","7.5885761","Basel","Basel City","Switzerland",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"123","Rome","Rome, Italy",,,"BOUNCE","41.9027008","12.4962352",,"Lazio","Italy",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:37:""https://jboy.cagumbay.com/rome-italy/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"124","Turin","Turin, Italy",,,"BOUNCE","45.063299","7.669289",,"Piedmont","Italy",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"125","Vatican","Vatican City",,,"BOUNCE","41.902916","12.453389","Vatican City",,"Vatican City",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"126","Perpignan","Perpignan, France",,,"BOUNCE","42.6886591","2.8948332","Perpignan","Occitanie","France",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"127","Lyon","Lyon, France",,,"BOUNCE","45.764043","4.835659","Lyon","Auvergne-Rhône-Alpes","France",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"128","Granville","Granville, France",,,"BOUNCE","48.837579","-1.597302","Granville","Normandy","France",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"129","Îles Chausey","Îles Chausey, France",,,"BOUNCE","48.87997555","-1.8291199",,"Normandy","France",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"130","Clermont-Ferrand","Clermont-Ferrand, France",,,"BOUNCE","45.77722199999999","3.087025","Clermont-Ferrand","Auvergne-Rhône-Alpes","France",,NULL,,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"131","Metz, France","Metz, France",,,"BOUNCE","49.1193089","6.175715599999999","Metz","Grand Est","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:38:""https://jboy.cagumbay.com/metz-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"132","Luxembourg, Luxembourg","Luxembourg, Luxembourg",,,"BOUNCE","49.61162100000001","6.1319346","Luxembourg","Luxembourg","Luxembourg",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:48:""https://jboy.cagumbay.com/luxembourg-luxembourg/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"133","Lille, France","Lille, France",,,"BOUNCE","50.62925","3.057256","Lille","Hauts-de-France","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:39:""https://jboy.cagumbay.com/lille-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"134","Dunkirk, France","Dunkirk, France",,,"BOUNCE","51.0343684","2.3767763","Dunkirk","Hauts-de-France","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/category/travel/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"135","Ghent, Belgium","Ghent, Belgium",,,"BOUNCE","51.0500182","3.7303351","Ghent","Flanders","Belgium",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/ghent-belgium/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"136","Nantes, France","Nantes, France",,,"BOUNCE","47.218371","-1.553621","Nantes","Pays de la Loire","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/nantes-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"137","Barcelona, Spain","Barcelona, Spain",,,"BOUNCE","41.3873974","2.168568","Barcelona","Catalonia","Spain",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/barcelona-spain/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"138","Montserrat, Spain","Montserrat, Spain",,,"BOUNCE","41.59577650000001","1.8298142",,"Catalonia","Spain",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:43:""https://jboy.cagumbay.com/montserrat-spain/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"139","Troyes, France","Troyes, France",,,"BOUNCE","48.2973451","4.0744009","Troyes","Grand Est","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/troyes-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"140","Mallorca, Spain","Mallorca, Spain",,,"BOUNCE","39.6952629","3.0175712",,"Balearic Islands","Spain",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:41:""https://jboy.cagumbay.com/mallorca-spain/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"141","Rouen, France","Rouen, France",,,"BOUNCE","49.44323199999999","1.099971","Rouen","Normandy","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:39:""https://jboy.cagumbay.com/rouen-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"142","Abu Dhabi, United Arab Emirates","Abu Dhabi - United Arab Emirates",,,"BOUNCE","24.453884","54.3773438","Abu Dhabi","Abu Dhabi","United Arab Emirates",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/abu-dhabi-aue/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"143","Étretat, France","Étretat, France",,,"BOUNCE","49.7070069","0.2055978","Étretat","Normandy","France",,NULL,,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:41:""https://jboy.cagumbay.com/etretat-france/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}",NULL
"144","Valleta, Malta","Valletta, Malta",,,"BOUNCE","35.8992375","14.5140996","Valletta",,"Malta",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/valleta-malta/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"145","Blue Grotto, Malta","Blue Grotto, Malta",,,"BOUNCE","35.8208561","14.4574093",,,"Malta",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:44:""https://jboy.cagumbay.com/blue-grotto-malta/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"146","Mdina, Malta","Mdina, Malta",,,"BOUNCE","35.8863691","14.4031146","Mdina",,"Malta",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:38:""https://jboy.cagumbay.com/mdina-malta/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"147","Gozo, Malta","Gozo, Malta",,,"BOUNCE","36.0442999","14.2512221",,,"Malta",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:37:""https://jboy.cagumbay.com/gozo-malta/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"148","Singapore, Singapore","Singapore, Singapore",,,"BOUNCE","1.2811866","103.8503404","Singapore",,"Singapore",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:36:""https://jboy.cagumbay.com/singapore/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"149","Brisbane, Australia","Brisbane QLD, Australia",,,"BOUNCE","-27.4704528","153.0260341","Brisbane","Queensland","Australia",,NULL,,"a:4:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"150","Gold Coast","Gold Coast QLD, Australia",,,"BOUNCE","-28.016667","153.4","Gold Coast","Queensland","Australia",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:47:""https://jboy.cagumbay.com/gold-coast-australia/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
